Country,Year,Population,Income,Energy
Bangladesh,1988,101000000,1450,120
Bangladesh,1989,103000000,1520,123
Bangladesh,1990,106000000,1540,119
Bangladesh,1991,108000000,1580,123
Bangladesh,1992,110000000,1620,127
Bangladesh,1993,113000000,1650,130
Bangladesh,1994,115000000,1700,138
Bangladesh,1995,118000000,1740,136
Bangladesh,1996,120000000,1780,139
Bangladesh,1997,123000000,1830,142
Bangladesh,1998,125000000,1880,141
Bangladesh,1999,128000000,1940,143
Bangladesh,2000,130000000,2000,154
Bangladesh,2001,132000000,2040,154
Bangladesh,2002,135000000,2100,160
Bangladesh,2003,137000000,2170,160
Bangladesh,2004,139000000,2280,164
Bangladesh,2005,141000000,2400,173
Bangladesh,2006,143000000,2540,179
Bangladesh,2007,144000000,2660,186
Bangladesh,2008,146000000,2760,193
Bangladesh,2009,148000000,2880,207
Bangladesh,2010,149000000,3040,212
Bulgaria,1970,8560000,9580,2230
Bulgaria,1971,8610000,10000,2260
Bulgaria,1972,8660000,10400,2380
Bulgaria,1973,8700000,10800,2460
Bulgaria,1974,8740000,11700,2670
Bulgaria,1975,8770000,12000,2780
Bulgaria,1976,8800000,11900,2950
Bulgaria,1977,8830000,12200,3080
Bulgaria,1978,8850000,12800,3200
Bulgaria,1979,8880000,12400,3200
Bulgaria,1980,8910000,12800,3190
Bulgaria,1981,8930000,13200,3310
Bulgaria,1982,8950000,13000,3370
Bulgaria,1983,8970000,13500,3390
Bulgaria,1984,8980000,13100,3420
Bulgaria,1985,8970000,13500,3450
Bulgaria,1986,8960000,13600,3410
Bulgaria,1987,8940000,13600,3490
Bulgaria,1988,8900000,13400,3430
Bulgaria,1989,8840000,12100,3240
Bulgaria,1990,8770000,11200,2540
Bulgaria,1991,8680000,10500,2400
Bulgaria,1992,8580000,10400,2590
Bulgaria,1993,8470000,10600,2520
Bulgaria,1994,8380000,11000,2750
Bulgaria,1995,8290000,11600,2750
Bulgaria,1996,8210000,10000,2500
Bulgaria,1997,8140000,10500,2430
Bulgaria,1998,8070000,9720,2230
Bulgaria,1999,8000000,10200,2280
Bulgaria,2000,7930000,10800,2420
Bulgaria,2001,7870000,11700,2410
Bulgaria,2002,7800000,12400,2490
Bulgaria,2003,7740000,13300,2440
Bulgaria,2004,7690000,14400,2600
Bulgaria,2005,7630000,15500,2690
Bulgaria,2006,7580000,16600,2670
Bulgaria,2007,7520000,17800,2650
Bulgaria,2008,7470000,17300,2350
Bulgaria,2009,7430000,17500,2420
Bulgaria,2010,7380000,18000,2620
Bahrain,1970,220000,38500,6390
Bahrain,1971,229000,40600,5970
Bahrain,1972,240000,42300,8500
Bahrain,1973,252000,44200,9010
Bahrain,1974,267000,37900,8000
Bahrain,1975,284000,41600,9580
Bahrain,1976,303000,42800,8190
Bahrain,1977,323000,42500,7840
Bahrain,1978,343000,40700,8810
Bahrain,1979,360000,42200,7790
Bahrain,1980,374000,40400,8300
Bahrain,1981,386000,40500,9070
Bahrain,1982,396000,40900,8500
Bahrain,1983,407000,40600,8830
Bahrain,1984,419000,38800,9920
Bahrain,1985,433000,38300,10300
Bahrain,1986,449000,38000,9520
Bahrain,1987,465000,38600,10500
Bahrain,1988,481000,38900,10200
Bahrain,1989,496000,38600,10600
Bahrain,1990,510000,41800,10100
Bahrain,1991,523000,43400,10800
Bahrain,1992,536000,47800,11100
Bahrain,1993,550000,46500,11600
Bahrain,1994,564000,47200,11400
Bahrain,1995,579000,47800,11100
Bahrain,1996,595000,48000,12200
Bahrain,1997,614000,48700,12400
Bahrain,1998,637000,49000,11900
Bahrain,1999,665000,49400,12000
Bahrain,2000,698000,48200,11700
Bahrain,2001,735000,47300,11500
Bahrain,2002,779000,47500,11600
Bahrain,2003,830000,47700,10900
